date,VNINDEX,SSI,HCM,REE,PVT
4/20/18,1119.86,31.61,34.52,34.02,18.18
4/19/18,1094.63,30.55,33.7,33.66,18.05
4/18/18,1138.53,31.23,34.86,34.39,17.78
4/17/18,1153.28,31.61,35.17,34.48,17.92
4/16/18,1148.49,31.16,34.95,33.93,17.83
4/13/18,1157.14,31.08,35.34,34.52,18
12/4/18,1173.02,31.61,36.59,34.93,18.27
11/4/18,1167.11,31.46,36.55,34.84,17.92
10/4/18,1198.12,32.74,38.83,36.1,17.83
9/4/18,1204.33,33.34,39.7,35.61,18.63
6/4/18,1199.96,31.53,38.4,35.7,18.81
5/4/18,1193.17,31.53,39.01,35.43,19.25
4/4/18,1191.54,31.53,38.49,35.56,19.07
3/4/18,1188.29,31.76,38.62,35.74,19.07
2/4/18,1196.61,30.71,36.85,34.57,18.54
3/30/18,1174.46,29.35,34.48,34.11,18.36
3/29/18,1167.03,29.35,34.04,34.2,18.27
3/28/18,1172.24,29.73,33.14,34.93,17.83
3/27/18,1171.73,30.1,33.22,34.39,17.83
3/26/18,1171.22,30.25,34.09,34.11,18.09
3/23/18,1153.59,29.8,34.04,34.11,18.27
3/22/18,1172.36,30.33,34.43,35.02,18.27
3/21/18,1169.36,30.82,34.56,35.29,18.18
3/20/18,1159.39,30.89,34.09,35.56,17.83
3/19/18,1159.22,30.86,34.04,35.65,17.83
3/16/18,1150.19,30.86,33.96,36.38,17.6
3/15/18,1138.76,29.54,32.92,37.19,17.96
3/14/18,1138.09,29.5,33.14,36.92,16.85
3/13/18,1133.31,29.73,32.49,36.1,16.85
12/3/18,1126.29,28.9,30.81,36.1,16.62
9/3/18,1123.41,29.2,32.19,34.93,16.76
8/3/18,1124.15,28.71,32.53,34.2,16.76
7/3/18,1112.26,28.75,32.19,33.93,16.89
6/3/18,1120.29,28.45,33.66,34.48,16.58
5/3/18,1093.48,26.6,32.1,34.11,16.36
2/3/18,1121.21,28.6,34.48,33.75,16.13
1/3/18,1115.79,28.45,34.6,34.02,16.22
2/28/18,1121.54,27.77,34.52,34.84,16.58
2/27/18,1119.61,26.57,33.91,34.7,16.13
2/26/18,1114.53,26.38,34.56,34.74,15.15
2/23/18,1102.85,26.49,34.52,34.57,15.73
2/22/18,1076.03,25.89,34.09,33.92,15.95
2/21/18,1087.15,26.42,34.3,34.48,16.49
2/13/18,1059.73,25.7,34.43,34.48,16.27
12/2/18,1041.79,25.29,35.64,33.44,16.13
9/2/18,1003.94,23.78,34.95,32.31,15.6
8/2/18,1023.25,23.78,33.18,32.57,16.04
7/2/18,1040.55,24.84,33.7,33.27,16.22
6/2/18,1011.6,23.48,31.5,32.57,16.4
5/2/18,1048.71,24.57,33.31,34.53,16.94
2/2/18,1105.04,26.42,35.38,37.09,17.38
1/2/18,1099.67,26,35.38,37.05,17.56
1/31/18,1110.36,25.66,34.86,37.05,17.34
1/30/18,1110.56,27.47,35.81,36.05,17.11
1/29/18,1109.8,27.54,34.65,35.96,17.38
1/26/18,1115.64,26.57,32.4,36.31,16.62
1/25/18,1104.57,26.64,30.29,36.52,16.49
1/22/18,1087.42,25.74,28.61,36.31,16.18
1/19/18,1062.07,24.46,27.18,35.61,16.13
1/18/18,1050.25,23.71,26.32,35.96,16.22
1/17/18,1034.69,22.95,25.67,35.61,15.95
1/16/18,1062.96,23.97,26.71,36.96,16.67
1/15/18,1063.47,24.04,27.05,36.96,16.67
12/1/18,1050.11,23.56,26.1,36.92,17.02
11/1/18,1048.17,22.8,26.45,37.78,17.56
10/1/18,1038.11,22.84,26.45,38.04,17.56
9/1/18,1033.56,22.43,26.67,37.78,16.89
8/1/18,1022.9,22.2,26.67,37.18,16.27
5/1/18,1012.65,21.75,26.32,36.92,16.58
4/1/18,1019.75,22.65,26.97,37.52,16.85
